 level_type_id |   lat   |   lon    | station_id | icao_name 
---------------+---------+----------+------------+-----------
             1 | 66.5667 |  25.8333 |          8 | EFRO
             2 | 66.5667 |  25.8333 |          8 | EFRO
             3 | 66.5667 |  25.8333 |          8 | EFRO
             1 | 64.9333 |  25.3667 |         11 | EFOU
             2 | 64.9333 |  25.3667 |         11 | EFOU
             3 | 64.9333 |  25.3667 |         11 | EFOU
             1 | 63.0167 |     27.8 |         16 | EFKU
             2 | 63.0167 |     27.8 |         16 | EFKU
             3 | 63.0167 |     27.8 |         16 | EFKU
             1 | 62.4021 |  25.6786 |         19 | EFJY
             2 | 62.4021 |  25.6786 |         19 | EFJY
             3 | 62.4021 |  25.6786 |         19 | EFJY
             1 | 61.4206 |  23.6233 |         20 | EFTP
             2 | 61.4206 |  23.6233 |         20 | EFTP
             3 | 61.4206 |  23.6233 |         20 | EFTP
             1 | 60.3254 |  24.9623 |         27 | EFHK
             2 | 60.3254 |  24.9623 |         27 | EFHK
             3 | 60.3254 |  24.9623 |         27 | EFHK
             1 |   65.55 |  22.1333 |         65 | ESPA
             2 |   65.55 |  22.1333 |         65 | ESPA
             3 |   65.55 |  22.1333 |         65 | ESPA
             1 |   59.62 |    17.95 |         70 | ESSA
             2 |   59.62 |    17.95 |         70 | ESSA
             3 |   59.62 |    17.95 |         70 | ESSA
             1 |    60.2 |  11.0833 |        103 | ENGM
             2 |    60.2 |  11.0833 |        103 | ENGM
             3 |    60.2 |  11.0833 |        103 | ENGM
             1 |   78.25 |  15.4667 |        128 | ENSB
             1 | 51.4833 |    -0.45 |        142 | EGLL
             2 | 51.4833 |    -0.45 |        142 | EGLL
             3 | 51.4833 |    -0.45 |        142 | EGLL
             1 | 55.6167 |    12.65 |        158 | EKCH
             1 |   52.31 |     4.76 |        160 | EHAM
             2 |   52.31 |     4.76 |        160 | EHAM
             3 |   52.31 |     4.76 |        160 | EHAM
             1 |    50.9 |  4.53333 |        161 | EBBR
             1 | 49.6167 |  6.21666 |        162 | ELLX
             1 |   46.25 |  6.13333 |        164 | LSGG
             1 |   49.01 |     2.55 |        165 | LFPG
             2 |   49.01 |     2.55 |        165 | LFPG
             3 |   49.01 |     2.55 |        165 | LFPG
             1 |   40.45 |    -3.55 |        167 | LEMD
             1 | 48.1333 |    11.55 |        172 | EDDM
             2 | 48.1333 |    11.55 |        172 | EDDM
             3 | 48.1333 |    11.55 |        172 | EDDM
             1 | 48.1167 |  16.5667 |        173 | LOWW
             2 | 48.1167 |  16.5667 |        173 | LOWW
             3 | 48.1167 |  16.5667 |        173 | LOWW
             1 | 47.4333 |  19.2667 |        175 | LHBP
             1 | 59.3833 |  24.5833 |        184 | EETN
             1 | 56.9667 |    24.05 |        187 | EVRA
             1 | 54.6333 |     25.1 |        190 | EYVI
             1 | 53.4333 |    -6.25 |        191 | EIDW
             1 | 52.5667 |  13.3167 |        277 | EDDT
             1 |   51.15 | -0.18333 |        280 | EGKK
             1 |   50.05 |      8.6 |        281 | EDDF
             2 |   50.05 |      8.6 |        281 | EDDF
             3 |   50.05 |      8.6 |        281 | EDDF
             1 | 48.7167 |  2.38333 |        282 | LFPO
             1 | 41.2833 |  2.06666 |        283 | LEBL
             1 |    41.8 |  12.2333 |        369 | LIRF
             1 | 47.4833 |   8.5333 |        370 | LSZH
             1 |   39.55 |   2.7333 |        371 | LEPA
             1 | 45.6167 |   8.7333 |        374 | LIMC
             1 | 38.7667 | -9.13333 |        375 | LPPT
             1 |   38.05 |  23.6667 |        376 | LGAV
             1 |    50.1 |    14.25 |        378 | LKPR
             1 | 52.1667 |  20.9667 |        379 | EPWA
             1 |   55.95 |    -3.35 |        380 | EGPH
             1 |   44.55 |     26.1 |        381 | LROP
             1 | 34.8833 |  33.6333 |        382 | LCLK
             1 |   35.85 |  14.4833 |        383 | LMML
             1 | 43.6333 |  1.26666 |        384 | LFBO
             1 |   42.65 |  23.3833 |        385 | LBSF
             1 | 45.7333 |  16.0667 |        386 | LDZA
             1 |    48.2 |     17.2 |        387 | LZIB
             1 | 46.2167 |  14.4833 |        388 | LJLJ
             1 | 47.2667 |    11.35 |        400 | LOWI
             2 | 47.2667 |    11.35 |        400 | LOWI
             3 | 47.2667 |    11.35 |        400 | LOWI

