"","wmon","membership_start","membership_end","fmisid","station_name","station_start","sattion_end","loc_id","loc_start","loc_end","h","lon","lat","lsm","z_oro","lsm_41r2","z_oro_41r2","lpnn"
"507",2753,"2007-09-11","9999-12-31",101291,"Kankaanpää Niinisalo lentokenttä","1998-05-07 00:00:00","9999-12-31 00:00:00",950,"2009-10-21 09:37:00","9999-12-31 00:00:00",122,22.46333,61.84166,100,113.84,100,112.44,2123
"509",2755,"2000-05-25","9999-12-31",101690,"Ylivieska lentokenttä","2000-05-25 00:00:00","9999-12-31 00:00:00",1349,"2008-12-23 00:00:00","9999-12-31 00:00:00",76,24.72444,64.04986,100,86.35,100,85.33,4315
"525",2777,"2002-06-10","9999-12-31",100967,"Salo Kiikala lentokenttä","2002-06-10 00:00:00","9999-12-31 00:00:00",626,"2002-06-10 00:00:00","9999-12-31 00:00:00",116,23.64916,60.46333,100,97.51,100,97.3,217
"546",2807,"1957-06-01","9999-12-31",102033,"Inari Ivalo lentoasema","1957-06-01 00:00:00","9999-12-31 00:00:00",1692,"2008-05-06 12:42:00","2015-08-28 00:00:00",147,27.41475,68.6073,100,204.01,100,201.69,9601
"550",2814,"2007-09-11","9999-12-31",101950,"Kemijärvi lentokenttä","2006-05-23 00:00:00","9999-12-31 00:00:00",1609,"2006-05-23 00:00:00","9999-12-31 00:00:00",208,27.16088,66.71516,100,209.64,100,208.58,7607
"573",2845,"1951-05-01","9999-12-31",101920,"Rovaniemi lentoasema","1951-05-01 00:00:00","9999-12-31 00:00:00",1579,"2014-09-08 00:00:00","9999-12-31 00:00:00",197,25.83211,66.55838,100,143.11,100,139.32,7401
"584",2864,"2004-05-04","9999-12-31",101840,"Kemi Kemi-Tornio lentoasema","1945-11-01 00:00:00","9999-12-31 00:00:00",1499,"2009-03-16 14:06:00","2015-05-20 00:00:00",10,24.58,65.78333,73.6,23.47,100,21.39,6301
"585",2866,"1999-08-25","9999-12-31",101805,"Pudasjärvi lentokenttä","1999-08-25 00:00:00","9999-12-31 00:00:00",1464,"1999-08-25 00:00:00","9999-12-31 00:00:00",121,26.96361,65.39944,100,128.25,100,126.63,5507
"587",2869,"1909-01-01","9999-12-31",101886,"Kuusamo lentoasema","1909-01-01 00:00:00","9999-12-31 00:00:00",1545,"2008-05-06 12:42:00","2015-08-18 00:00:00",262,29.22277,65.99511,100,294.45,100,292.51,6801
"593",2881,"2009-05-01","9999-12-31",101873,"Ranua lentokenttä","2008-07-30 00:00:00","9999-12-31 00:00:00",1532,"2008-07-30 00:00:00","9999-12-31 00:00:00",161,26.36805,65.97638,100,153.64,100,150.33,6514
"599",2897,"1956-06-01","9999-12-31",101725,"Kajaani lentoasema","1956-06-01 00:00:00","9999-12-31 00:00:00",1384,"2000-04-06 00:00:00","9999-12-31 00:00:00",143,27.67527,64.28147,100,151.46,100,145.49,4601
"603",2913,"1931-11-01","9999-12-31",101503,"Kauhava lentokenttä","1931-11-01 00:00:00","9999-12-31 00:00:00",1162,"2012-06-01 00:00:00","2015-01-09 00:00:00",42,23.04394,63.12022,100,61.99,100,57.5,3201
"605",2917,"1945-05-01","9999-12-31",101570,"Siilinjärvi Kuopio lentoasema","1945-05-01 00:00:00","9999-12-31 00:00:00",266332,"2014-05-08 00:00:00","9999-12-31 00:00:00",98,27.79916,63.00805,63.2,94.46,100,86.3,3601
"612",2929,"1955-03-01","9999-12-31",101608,"Liperi Joensuu lentoasema","1955-03-01 00:00:00","9999-12-31 00:00:00",1267,"1955-03-01 00:00:00","2015-06-09 00:00:00",119,29.61133,62.65955,75.4,83.73,100,81.99,3801
"616",2935,"1945-01-01","9999-12-31",101339,"Jyväskylä lentoasema","1945-01-01 00:00:00","9999-12-31 00:00:00",998,"2006-07-01 00:00:00","9999-12-31 00:00:00",141,25.67525,62.40211,100,149.41,100,156.48,2401
"621",2944,"1979-10-01","9999-12-31",101118,"Pirkkala Tampere-Pirkkala lentoasema","1979-10-01 00:00:00","9999-12-31 00:00:00",258673,"1999-02-02 00:00:00","9999-12-31 00:00:00",119,23.62,61.42055,100,107.01,100,107.44,1215
"622",2945,"1964-04-01","9999-12-31",101315,"Jämsä Halli lentoasema","1964-04-01 00:00:00","9999-12-31 00:00:00",297707,"2008-09-17 00:00:00","9999-12-31 00:00:00",143,24.78583,61.85638,100,135.18,100,144.75,2301
"624",2947,"1959-01-01","9999-12-31",101398,"Mikkeli lentoasema","1959-01-01 00:00:00","9999-12-31 00:00:00",161698,"2013-10-21 00:00:00","9999-12-31 00:00:00",138,27.20658,61.68722,100,110.37,100,110.91,2602
"625",2948,"1974-09-01","9999-12-31",101430,"Savonlinna lentoasema","1974-09-01 00:00:00","9999-12-31 00:00:00",1089,"2008-05-06 12:42:00","2015-07-28 00:00:00",95,28.93138,61.94611,100,97.09,100,97.4,2710
"631",2958,"1950-01-01","9999-12-31",101237,"Lappeenranta lentoasema","1950-01-01 00:00:00","9999-12-31 00:00:00",896,"2008-05-06 12:42:00","2015-04-30 00:00:00",105,28.15075,61.04391,100,72.68,100,74.03,1701
"636",2966,"1944-05-01","9999-12-31",101191,"Kouvola Utti lentoasema","1944-05-01 00:00:00","9999-12-31 00:00:00",850,"2005-11-24 14:26:00","2015-04-28 00:00:00",103,26.94083,60.89027,100,71.99,100,70.4,1501
"638",2974,"1952-11-01","9999-12-31",100968,"Vantaa Helsinki-Vantaan lentoasema","1952-11-01 00:00:00","9999-12-31 00:00:00",627,"2009-09-01 00:00:00","9999-12-31 00:00:00",51,24.96222,60.32527,100,41.47,100,40.29,301
