"","wmon","membership_start","membership_end","fmisid","station_name","station_start","sattion_end","loc_id","loc_start","loc_end","h","lon","lat","lsm","z_oro","lsm_41r2","z_oro_41r2","lpnn"
"1",1001,1700-01-01,9999-12-31,113899,"Jan Mayen","1700-01-01 00:00:00","9999-12-31 00:00:00",353051,"1700-01-01 00:00:00","9999-12-31 00:00:00",10,-8.66666,70.93305,0,58.9,0,37.38,NA
"2",1002,1700-01-01,9999-12-31,113900,"Verlegenhuken","1700-01-01 00:00:00","9999-12-31 00:00:00",11882,"1700-01-01 00:00:00","9999-12-31 00:00:00",8,16.25,80.05916,0,78.74,0,31.49,NA
"3",1003,1700-01-01,9999-12-31,136636,"Hornsund","1700-01-01 00:00:00","9999-12-31 00:00:00",33654,"1700-01-01 00:00:00","9999-12-31 00:00:00",10,15.5,77,0,84.9,100,93.15,NA
"5",1006,1700-01-01,9999-12-31,113903,"Edgeoya","1700-01-01 00:00:00","9999-12-31 00:00:00",11885,"1700-01-01 00:00:00","9999-12-31 00:00:00",14,22.8225,78.25055,0,18.59,0,5.27,NA
"6",1007,1700-01-01,9999-12-31,113904,"Ny-Alesund","1700-01-01 00:00:00","9999-12-31 00:00:00",11886,"1700-01-01 00:00:00","9999-12-31 00:00:00",8,11.93305,78.92277,79.5,156.57,61.8,160.68,NA
"7",1008,1700-01-01,9999-12-31,113905,"Svalbard Ap","1700-01-01 00:00:00","9999-12-31 00:00:00",11887,"1700-01-01 00:00:00","9999-12-31 00:00:00",29,15.46666,78.25,0,197.97,73.3,201.48,NA
"8",1009,1700-01-01,9999-12-31,113906,"Karl Xii Oya","1700-01-01 00:00:00","9999-12-31 00:00:00",11888,"1700-01-01 00:00:00","9999-12-31 00:00:00",5,25.00777,80.65277,NA,NA,0,-4.23,NA
"9",1010,1700-01-01,9999-12-31,113907,"Andoya","1700-01-01 00:00:00","9999-12-31 00:00:00",11889,"1700-01-01 00:00:00","9999-12-31 00:00:00",10,16.13083,69.30722,0,18.04,0,21.56,NA
"10",1011,1700-01-01,9999-12-31,137370,"Kvitoya","1700-01-01 00:00:00","9999-12-31 00:00:00",34508,"1700-01-01 00:00:00","9999-12-31 00:00:00",10,31.5,80.07222,NA,NA,57.8,14.08,NA
"13",1015,1700-01-01,9999-12-31,113909,"Hekkingen Lh","1700-01-01 00:00:00","9999-12-31 00:00:00",11891,"1700-01-01 00:00:00","9999-12-31 00:00:00",14,17.83722,69.60055,5.9,77.07,19.6,60.99,NA
"14",1016,1700-01-01,9999-12-31,126738,"Kongsoya","1700-01-01 00:00:00","9999-12-31 00:00:00",29431,"1700-01-01 00:00:00","9999-12-31 00:00:00",20,28.89194,78.9275,0,9.36,0,11.2,NA
"15",1017,1700-01-01,9999-12-31,113922,"Akseloya","1700-01-01 00:00:00","9999-12-31 00:00:00",11904,"1700-01-01 00:00:00","9999-12-31 00:00:00",6,14.78388,77.68861,0,117.75,0,76.83,NA
"16",1018,1700-01-01,9999-12-31,100791,"Andoya-Trolltinden","1700-01-01 00:00:00","9999-12-31 00:00:00",353511,"1700-01-01 00:00:00","9999-12-31 00:00:00",436,16.00305,69.24138,0,24.17,90.8,38.76,NA
"18",1020,1700-01-01,9999-12-31,126899,"Sorkappoya","1700-01-01 00:00:00","9999-12-31 00:00:00",29881,"1700-01-01 00:00:00","9999-12-31 00:00:00",10,16.54861,76.4775,0,6.18,0,7.01,NA
"19",1023,1700-01-01,9999-12-31,113910,"Bardufoss","1700-01-01 00:00:00","9999-12-31 00:00:00",11892,"1700-01-01 00:00:00","9999-12-31 00:00:00",76,18.54,69.05888,100,366.62,100,340.84,NA
"20",1024,1700-01-01,9999-12-31,154012,"Pyramiden","1700-01-01 00:00:00","9999-12-31 00:00:00",41250,"1700-01-01 00:00:00","9999-12-31 00:00:00",20,16.36027,78.65555,100,314.99,100,274.28,NA
"21",1025,1700-01-01,9999-12-31,113911,"Tromso/Langnes","1700-01-01 00:00:00","9999-12-31 00:00:00",11893,"1700-01-01 00:00:00","9999-12-31 00:00:00",8,18.91305,69.67666,100,233.89,100,232.05,NA
"22",1026,1700-01-01,9999-12-31,113912,"Tromso","1700-01-01 00:00:00","9999-12-31 00:00:00",11894,"1700-01-01 00:00:00","9999-12-31 00:00:00",100,18.93666,69.65361,100,248.36,100,252.92,NA
"23",1027,1700-01-01,9999-12-31,132094,"Tromsoe-Holt","1700-01-01 00:00:00","9999-12-31 00:00:00",32310,"1700-01-01 00:00:00","9999-12-31 00:00:00",20,18.90555,69.65222,100,242.05,100,245.04,NA
"24",1028,1700-01-01,9999-12-31,113913,"Bjornoya","1700-01-01 00:00:00","9999-12-31 00:00:00",11895,"1700-01-01 00:00:00","9999-12-31 00:00:00",18,19.00472,74.51666,0,17.49,0,17.27,NA
"26",1033,1700-01-01,9999-12-31,113914,"Torsvag Lh","1700-01-01 00:00:00","9999-12-31 00:00:00",11896,"1700-01-01 00:00:00","9999-12-31 00:00:00",21,19.50027,70.24555,0,48.87,3.6,60.53,NA
"28",1035,1700-01-01,9999-12-31,113916,"Oteren","1700-01-01 00:00:00","9999-12-31 00:00:00",11898,"1700-01-01 00:00:00","9999-12-31 00:00:00",710,20.09388,69.55888,100,412.75,100,402.69,NA
"29",1036,1700-01-01,9999-12-31,113917,"Skibotn","1700-01-01 00:00:00","9999-12-31 00:00:00",11899,"1700-01-01 00:00:00","9999-12-31 00:00:00",700,20.42527,69.57388,100,452.73,100,405.62,NA
